State-Code,Name,TRU,Age-Group,Tot-P,Tot-M,Tot-F,Persons-exactly-1,Males-exactly-1,Females-exactly-1,Persons-exactly-2,Males-exactly-2,Females-exactly-2,Persons-atleast-3,Males-atleast-3,Females-atleast-3
0,INDIA,Rural,5-9,93807612,48825259,44982353,84515361,44009879,40505482,8619753,4459004,4160749,672498,356376,316122
0,INDIA,Rural,10-14,96804494,50488158,46316336,75843895,39482164,36361731,17321726,9076421,8245305,3638873,1929573,1709300
0,INDIA,Rural,15-19,83902472,44570557,39331915,59354806,31228261,28126545,17987978,9726204,8261774,6559688,3616092,2943596
0,INDIA,Rural,20-24,73835046,38138662,35696384,51929482,25958518,25970964,15939543,8730193,7209350,5966021,3449951,2516070
0,INDIA,Rural,25-29,66068270,33375989,32692281,48015316,23114804,24900512,13483541,7492507,5991034,4569413,2768678,1800735
0,INDIA,Rural,30-49,202243722,102489258,99754464,156269980,74801758,81468222,35834430,20909339,14925091,10139312,6778161,3361151
0,INDIA,Rural,50-69,103100817,51465979,51634838,85276326,40270507,45005819,14608987,8782315,5826672,3215504,2413157,802347
0,INDIA,Rural,70+,28086307,13857399,14228908,24450318,11617010,12833308,3101453,1836276,1265177,534536,404113,130423
0,INDIA,Rural,Total,833748852,427781058,405967794,671107367,334793006,336314361,127257496,71216990,56040506,35383989,21771062,13612927
0,INDIA,Rural,Age not stated,2913452,1533420,1380032,2465223,1273728,1191495,360085,204731,155354,88144,54961,33183
0,INDIA,Total,5-9,126928126,66300466,60627660,111278934,58133623,53145311,13805084,7188692,6616392,1844108,978151,865957
0,INDIA,Total,10-14,132709212,69418835,63290377,98220720,51285412,46935308,27234157,14302292,12931865,7254335,3831131,3423204
0,INDIA,Total,15-19,120526449,63982396,56544053,78101850,41231488,36870362,29797882,15958142,13839740,12626717,6792766,5833951
0,INDIA,Total,20-24,111424222,57584693,53839529,70079816,35197999,34881817,28510072,15319080,13190992,12834334,7067614,5766720
0,INDIA,Total,25-29,101413965,51344208,50069757,65489920,31649175,33840745,25066874,13550988,11515886,10857171,6144045,4713126
0,INDIA,Total,30-49,308492074,157263555,151228519,212048204,101397235,110650969,68976986,39041847,29935139,27466884,16824473,10642411
0,INDIA,Total,50-69,152333999,76945353,75388646,112604217,52638618,59965599,28813421,16920768,11892653,10916361,7385967,3530394
0,INDIA,Total,70+,39730350,19425797,20304553,31768003,14612126,17155877,6007808,3450976,2556832,1954539,1362695,591844
0,INDIA,Total,Total,1210854977,623270258,587584719,895866207,446573875,449292332,228979190,126159551,102819639,86009580,50536832,35472748
0,INDIA,Total,Age not stated,4489802,2372881,2116921,3467765,1796125,1671640,766906,426766,340140,255131,149990,105141
0,INDIA,Urban,5-9,33120514,17475207,15645307,26763573,14123744,12639829,5185331,2729688,2455643,1171610,621775,549835
0,INDIA,Urban,10-14,35904718,18930677,16974041,22376825,11803248,10573577,9912431,5225871,4686560,3615462,1901558,1713904
0,INDIA,Urban,15-19,36623977,19411839,17212138,18747044,10003227,8743817,11809904,6231938,5577966,6067029,3176674,2890355
0,INDIA,Urban,20-24,37589176,19446031,18143145,18150334,9239481,8910853,12570529,6588887,5981642,6868313,3617663,3250650
0,INDIA,Urban,25-29,35345695,17968219,17377476,17474604,8534371,8940233,11583333,6058481,5524852,6287758,3375367,2912391
