State-Code,Name,TRU,Education-Level,Tot-P,Tot-M,Tot-F,Persons-exactly-1,Males-exactly-1,Females-exactly-1,Persons-exactly-2,Males-exactly-2,Females-exactly-2,Persons-atleast-3,Males-atleast-3,Females-atleast-3
0,INDIA,Rural,Total,833748852,427781058,405967794,671107367,334793006,336314361,127257496,71216990,56040506,35383989,21771062,13612927
0,INDIA,Rural,Illiterate,350955017,146419684,204535333,320751009,133644969,187106040,27969932,11669096,16300836,2234076,1105619,1128457
0,INDIA,Rural,Literate,482793835,281361374,201432461,350356358,201148037,149208321,99287564,59547894,39739670,33149913,20665443,12484470
0,INDIA,Rural,Literate but below primary,109643998,59106785,50537213,91156271,48753758,42402513,16736755,9319082,7417673,1750972,1033945,717027
0,INDIA,Rural,Primary but below middle,130265150,71805082,58460068,101338986,55459637,45879349,24427027,13767182,10659845,4499137,2578263,1920874
0,INDIA,Rural,Middle but below matric/secondary,90343798,53864377,36479421,65385951,38796015,26589936,18947772,11460196,7487576,6010075,3608166,2401909
0,INDIA,Rural,Matric/Secondary but below graduate,105238622,66910802,38327820,62938429,40112691,22825738,27751132,17612327,10138805,14549061,9185784,5363277
0,INDIA,Rural,Graduate and above,22339967,15659295,6680672,10577877,7596692,2981185,6671649,4592542,2079107,5090441,3470061,1620380
0,INDIA,Total,Total,1210854977,623270258,587584719,895866207,446573875,449292332,228979190,126159551,102819639,86009580,50536832,35472748
0,INDIA,Total,Illiterate,447216165,188506636,258709529,404949897,170655052,234294845,38386410,15961299,22425111,3879858,1890285,1989573
0,INDIA,Total,Literate,763638812,434763622,328875190,490916310,275918823,214997487,190592780,110198252,80394528,82129722,48646547,33483175
0,INDIA,Total,Literate but below primary,146897597,78445099,68452498,117552493,62318140,55234353,25611488,14018935,11592553,3733616,2108024,1625592
0,INDIA,Total,Primary but below middle,184170833,99311072,84859761,135600289,72722576,62877713,39934248,21806285,18127963,8636296,4782211,3854085
0,INDIA,Total,Middle but below matric/secondary,133903266,77629578,56273688,90786605,52414721,38371884,32373311,18948568,13424743,10743350,6266289,4477061
0,INDIA,Total,Matric/Secondary but below graduate,192193344,116331881,75861463,98989269,60309432,38679837,59304856,35611302,23693554,33899219,20411147,13488072
0,INDIA,Total,Graduate and above,68288971,42120460,26168511,21330922,13834840,7496082,24811506,14969198,9842308,22146543,13316422,8830121
0,INDIA,Urban,Total,377106125,195489200,181616925,224758840,111780869,112977971,101721694,54942561,46779133,50625591,28765770,21859821
0,INDIA,Urban,Illiterate,96261148,42086952,54174196,84198888,37010083,47188805,10416478,4292203,6124275,1645782,784666,861116
0,INDIA,Urban,Literate,280844977,153402248,127442729,140559952,74770786,65789166,91305216,50650358,40654858,48979809,27981104,20998705
0,INDIA,Urban,Literate but below primary,37253599,19338314,17915285,26396222,13564382,12831840,8874733,4699853,4174880,1982644,1074079,908565
0,INDIA,Urban,Primary but below middle,53905683,27505990,26399693,34261303,17262939,16998364,15507221,8039103,7468118,4137159,2203948,1933211
0,INDIA,Urban,Middle but below matric/secondary,43559468,23765201,19794267,25400654,13618706,11781948,13425539,7488372,5937167,4733275,2658123,2075152
0,INDIA,Urban,Matric/Secondary but below graduate,86954722,49421079,37533643,36050840,20196741,15854099,31553724,17998975,13554749,19350158,11225363,8124795
0,INDIA,Urban,Graduate and above,45949004,26461165,19487839,10753045,6238148,4514897,18139857,10376656,7763201,17056102,9846361,7209741
1,JAMMU & KASHMIR,Rural,Total,9108060,4774477,4333583,4940822,2304114,2636708,2908514,1691659,1216855,1258724,778704,480020
1,JAMMU & KASHMIR,Rural,Illiterate,4360110,1882728,2477382,3745937,1607368,2138569,503914,222808,281106,110259,52552,57707
