C-17 POPULATION BY BILINGUALISM AND TRILINGUALISM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State,State name,Total speakers of languages,,,,,Number of speakers speaking subsidiary languages      (1st language),,,,,Number of speakers speaking subsidiary languages      (2nd language),,,,
Code,,Code,Name,Persons,Males,Females,Code,1 st subsidiary languages,Persons,Males,Females,Code,2nd subsidiary languages,Persons,Males,Females
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,
00,INDIA,001000,ASSAMESE,15311351,7810583,7500768,,,,,,,,,,
00,INDIA,,,,,,002000,BENGALI ,2025303,1042862,982441,,,,,
00,INDIA,,,,,,,,,,,003000,BODO ,883,521,362
00,INDIA,,,,,,,,,,,005000,GUJARATI,11,9,2
00,INDIA,,,,,,,,,,,006000,HINDI ,245880,153937,91943
00,INDIA,,,,,,,,,,,007000,KANNADA,2,1,1
00,INDIA,,,,,,,,,,,011000,MALAYALAM,8,5,3
00,INDIA,,,,,,,,,,,012000,MANIPURI ,34,22,12
00,INDIA,,,,,,,,,,,013000,MARATHI ,36,23,13
00,INDIA,,,,,,,,,,,014000,NEPALI ,956,611,345
00,INDIA,,,,,,,,,,,015000,ODIA ,226,115,111
00,INDIA,,,,,,,,,,,016000,PUNJABI ,559,299,260
00,INDIA,,,,,,,,,,,017000,SANSKRIT ,41,32,9
00,INDIA,,,,,,,,,,,018000,SANTALI ,37,20,17
00,INDIA,,,,,,,,,,,019000,SINDHI,653,334,319
00,INDIA,,,,,,,,,,,020000,TAMIL ,9,7,2
00,INDIA,,,,,,,,,,,021000,TELUGU ,8,7,1
00,INDIA,,,,,,,,,,,022000,URDU,1946,1489,457
00,INDIA,,,,,,,,,,,023000,ADI ,2,1,1
00,INDIA,,,,,,,,,,,024000,AFGHANI/KABULI/PASHTO ,1,1,0
00,INDIA,,,,,,,,,,,027000,AO ,162,70,92
00,INDIA,,,,,,,,,,,028000,ARABIC/ARBI ,1907,1171,736
00,INDIA,,,,,,,,,,,032000,BHUMIJ ,2,0,2
00,INDIA,,,,,,,,,,,038000,DEORI ,3,2,1
00,INDIA,,,,,,,,,,,039000,DIMASA ,15,8,7
00,INDIA,,,,,,,,,,,040000,ENGLISH ,25047,15701,9346
00,INDIA,,,,,,,,,,,043000,GARO ,1036,912,124
00,INDIA,,,,,,,,,,,046000,HALAM ,2,2,0
00,INDIA,,,,,,,,,,,052000,KARBI/MIKIR ,86,45,41
00,INDIA,,,,,,,,,,,055000,KHASI ,24,16,8
00,INDIA,,,,,,,,,,,061000,KOCH ,18,10,8
00,INDIA,,,,,,,,,,,072000,KURUKH/ORAON ,11,8,3
00,INDIA,,,,,,,,,,,073000,LADAKHI ,1,0,1
00,INDIA,,,,,,,,,,,077000,LALUNG ,13,10,3
00,INDIA,,,,,,,,,,,078000,LEPCHA ,1,1,0
00,INDIA,,,,,,,,,,,079000,LIANGMEI ,2,0,2
00,INDIA,,,,,,,,,,,080000,LIMBU ,1,0,1
00,INDIA,,,,,,,,,,,082000,LUSHAI/MIZO ,8,4,4
00,INDIA,,,,,,,,,,,087000,MIRI/MISHING,27,21,6
00,INDIA,,,,,,,,,,,088000,MISHMI ,4,2,2
00,INDIA,,,,,,,,,,,091000,MUNDA,12,8,4
00,INDIA,,,,,,,,,,,092000,MUNDARI ,1,0,1
00,INDIA,,,,,,,,,,,102000,RABHA ,90,45,45
00,INDIA,,,,,,,,,,,109000,SHINA,1,1,0
00,INDIA,,,,,,,,,,,116000,TRIPURI ,5,1,4
00,INDIA,,,,,,,,,,,117000,TULU ,9,4,5
00,INDIA,,,,,,,,,,,119000,WANCHO,5,4,1
00,INDIA,,,,,,,,,,,124000,OTHERS,761,408,353
00,INDIA,,,,,,003000,BODO ,46019,23566,22453,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,1400,820,580
00,INDIA,,,,,,,,,,,006000,HINDI ,7133,4548,2585
00,INDIA,,,,,,,,,,,007000,KANNADA,1,1,0
00,INDIA,,,,,,,,,,,012000,MANIPURI ,10,7,3
00,INDIA,,,,,,,,,,,014000,NEPALI ,298,186,112
00,INDIA,,,,,,,,,,,015000,ODIA ,5,1,4
00,INDIA,,,,,,,,,,,016000,PUNJABI ,1,0,1
00,INDIA,,,,,,,,,,,018000,SANTALI ,9,7,2
00,INDIA,,,,,,,,,,,020000,TAMIL ,1,1,0
00,INDIA,,,,,,,,,,,028000,ARABIC/ARBI ,1,1,0
00,INDIA,,,,,,,,,,,038000,DEORI ,3,1,2
00,INDIA,,,,,,,,,,,039000,DIMASA ,3,2,1
00,INDIA,,,,,,,,,,,040000,ENGLISH ,1181,696,485
00,INDIA,,,,,,,,,,,043000,GARO ,207,134,73
00,INDIA,,,,,,,,,,,052000,KARBI/MIKIR ,23,16,7
00,INDIA,,,,,,,,,,,055000,KHASI ,6,4,2
00,INDIA,,,,,,,,,,,061000,KOCH ,1,1,0
00,INDIA,,,,,,,,,,,077000,LALUNG ,2,2,0
00,INDIA,,,,,,,,,,,087000,MIRI/MISHING,22,16,6
00,INDIA,,,,,,,,,,,091000,MUNDA,15,11,4
00,INDIA,,,,,,,,,,,092000,MUNDARI ,2,0,2
00,INDIA,,,,,,,,,,,102000,RABHA ,66,31,35
00,INDIA,,,,,,,,,,,106000,SAVARA,1,0,1
00,INDIA,,,,,,,,,,,113000,TANGSA,1,0,1
00,INDIA,,,,,,,,,,,121000,ZELIANG ,2,2,0
00,INDIA,,,,,,,,,,,124000,OTHERS,22,11,11
00,INDIA,,,,,,005000,GUJARATI,560,331,229,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,4,1,3
00,INDIA,,,,,,,,,,,006000,HINDI ,96,67,29
00,INDIA,,,,,,,,,,,013000,MARATHI ,3,2,1
00,INDIA,,,,,,,,,,,014000,NEPALI ,3,2,1
00,INDIA,,,,,,,,,,,018000,SANTALI ,1,1,0
00,INDIA,,,,,,,,,,,022000,URDU,1,1,0
00,INDIA,,,,,,,,,,,028000,ARABIC/ARBI ,1,1,0
00,INDIA,,,,,,,,,,,040000,ENGLISH ,27,18,9
00,INDIA,,,,,,006000,HINDI ,2557685,1542997,1014688,,,,,
00,INDIA,,,,,,,,,,,002000,BENGALI ,159939,100901,59038
00,INDIA,,,,,,,,,,,003000,BODO ,5094,3249,1845
